Field1,Field2,Field3_text,Field3_links,Field4
ОБЗОР ИНФОРМАЦИОННЫХ СИСТЕМ АНАЛИЗА СОЦИАЛЬНЫХ СЕТЕЙ,"Базенков Н.И., Губанов Д.А.",Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=33849752,"
Управление большими системами: сборник трудов. 
2013. 
№ 41.  С. 357-394.
"
НАУКОМЕТРИЯ И УПРАВЛЕНИЕ НАУЧНОЙ ДЕЯТЕЛЬНОСТЬЮ,Орлов А.И.,Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=33849755,"
Управление большими системами: сборник трудов. 
2013. 
№ 44.  С. 538-568.
"
"КОЛЕБАТЕЛЬНЫЕ СИСТЕМЫ, СОСТОЯЩИЕ ТОЛЬКО ИЗ ИНЕРТНЫХ ИЛИ ТОЛЬКО УПРУГИХ ЭЛЕМЕНТОВ, И ВОЗНИКНОВЕНИЕ В НИХ СВОБОДНЫХ ГАРМОНИЧЕСКИХ КОЛЕБАНИЙ",Попов И.П.,Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=33824745,"
Вестник Томского государственного университета. Математика и механика. 
2013. 
№ 1 (21).  С. 95-103.
"
ПРЕДСТАВЛЕНИЕ ТОРГОВЫХ СИГНАЛОВ НА ОСНОВЕ АДАПТИВНОЙ СКОЛЬЗЯЩЕЙ СРЕДНЕЙ КАУФМАНА В ВИДЕ СИСТЕМЫ ЛИНЕЙНЫХ НЕРАВЕНСТВ,"Дышаев М.М., Соколинская И.М.",Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика,https://www.elibrary.ru/contents.asp?id=33865808,"
Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика. 
2013. 
Т. 2. № 4.  С. 103-108.
"
ФУНКЦИОНАЛЬНОСТЬ И ТЕХНОЛОГИИ АЛГЕБРАИЧЕСКИХ РЕШАТЕЛЕЙ В БИБЛИОТЕКЕ KRYLOV,"Бутюгин Д.С., Гурьева Я.Л., Ильин В.П., Перевозкин Д.В., Петухов А.В., Скопин И.Н.",Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика,https://www.elibrary.ru/contents.asp?id=33841265,"
Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика. 
2013. 
Т. 2. № 3.  С. 92-105.
"
ПАРАЛЛЕЛЬНЫЙ ПРОГРАММНЫЙ КОМПЛЕКС NOISETTE ДЛЯ КРУПНОМАСШТАБНЫХ РАСЧЕТОВ ЗАДАЧ АЭРОДИНАМИКИ И АЭРОАКУСТИКИ,"Абалакин И.В., Бахвалов П.А., Горобец А.В., Дубень А.П., Козубская Т.К.",Вычислительные методы и программирование,https://www.elibrary.ru/contents.asp?id=47824932,"
Вычислительные методы и программирование. 
2012. 
Т. 13. № 3.  С. 110-125.
"
ПАРАЛЛЕЛЬНАЯ РЕАЛИЗАЦИЯ ТРЕХМЕРНОЙ МОДЕЛИ ГИДРОДИНАМИКИ МЕЛКОВОДНЫХ ВОДОЕМОВ НА СУПЕРВЫЧИСЛИТЕЛЬНОЙ СИСТЕМЕ,"Сухинов А.И., Чистяков А.Е.",Вычислительные методы и программирование,https://www.elibrary.ru/contents.asp?id=47824903,"
Вычислительные методы и программирование. 
2012. 
Т. 13. № 1.  С. 290-297.
"
ИЕРАРХИЧЕСКИЕ МОДЕЛИ ВОЕННЫХ ДЕЙСТВИЙ,Новиков Д.А.,Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=33745734,"
Управление большими системами: сборник трудов. 
2012. 
№ 37.  С. 25-62.
"
ЧИСЛЕННАЯ СХЕМА ДЛЯ МОДЕЛИРОВАНИЯ ДИНАМИКИ ПОВЕРХНОСТНЫХ ВОД НА ОСНОВЕ КОМБИНИРОВАННОГО SPH-TVD ПОДХОДА,"Храпов С.С., Хоперсков А.В., Кузьмин Н.М., Писарев А.В., Кобелев И.А.",Вычислительные методы и программирование,https://www.elibrary.ru/contents.asp?id=47824977,"
Вычислительные методы и программирование. 
2011. 
Т. 12. № 2.  С. 282-297.
"
СХОДИМОСТЬ И УСТОЙЧИВОСТЬ В ЗАДАЧАХ СОГЛАСОВАНИЯ ХАРАКТЕРИСТИК (ОБЗОР БАЗОВЫХ РЕЗУЛЬТАТОВ),"Агаев Р.П., Чеботарев П.Ю.",Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=33658585,"
Управление большими системами: сборник трудов. 
2010. 
№ 30-1.  С. 470-505.
"
РОЛЬ МАКРОМОДЕЛИРОВАНИЯ В АКТИВНОМ УПРАВЛЕНИИ ТРАНСПОРТНОЙ СЕТЬЮ,"Куржанский А.Б., Куржанский А.А., Варайя П.",ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета),https://www.elibrary.ru/contents.asp?id=33690174,"
ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета). 
2010. 
Т. 2. № 4 (8).  С. 100-118.
"
МОДЕЛИ СЛУЧАЙНЫХ ГРАФОВ И ИХ ПРИМЕНЕНИЯ,Райгородский А.М.,ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета),https://www.elibrary.ru/contents.asp?id=33690174,"
ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета). 
2010. 
Т. 2. № 4 (8).  С. 130-140.
"
МОДЕЛИРОВАНИЕ ТРАНСПОРТНЫХ ПОТОКОВ - АКТУАЛЬНЫЕ ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ ИХ РЕШЕНИЯ,"Холодов Я.А., Холодов А.С., Гасников, А.В., Морозов И.И., Тарасов В.Н.",ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета),https://www.elibrary.ru/contents.asp?id=33690174,"
ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета). 
2010. 
Т. 2. № 4 (8).  С. 152-162.
"
"МАТЕМАТИЧЕСКИЕ МОДЕЛИ ТРАНСПОРТНЫХ СИСТЕМ, ОСНОВАННЫЕ НА ТЕОРИИ ОЧЕРЕДЕЙ","Афанасьева Л.Г., Булинская Е.В.",ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета),https://www.elibrary.ru/contents.asp?id=33690174,"
ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета). 
2010. 
Т. 2. № 4 (8).  С. 6-21.
"
МОДЕЛИ ВЛИЯНИЯ В СОЦИАЛЬНЫХ СЕТЯХ,"Губанов Д.А., Новиков Д.А., Чхартишвили А.Г.",Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=33386619,"
Управление большими системами: сборник трудов. 
2009. 
№ 27.  С. 205-281.
"
СТРУКТУРА ТЕОРИИ УПРАВЛЕНИЯ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИМИ СИСТЕМАМИ,Новиков Д.А.,Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=33280218,"
Управление большими системами: сборник трудов. 
2009. 
№ 24.  С. 216-258.
"
