Field1,Field2,Field3_text,Field3_links,Field4
АНАЛИЗ СОСТОЯНИЯ РЫНКА ТРУДА В СФЕРЕ ИНДУСТРИИ ГОСТЕПРИИМСТВА НА ПРИМЕРЕ ГОРОДА ВОРОНЕЖ,"Родионова Н.С., Щетилина И.П., Мануковская М.В.",Сервис plus,https://elibrary.ru/contents.asp?id=34036955,"
Сервис plus. 
2014. 
Т. 8. № 4.  С. 53-59.
"
"АНАЛИЗ ТРЕБОВАНИЙ, ПРЕДЪЯВЛЯЕМЫХ К СРЕДСТВАМ РАЗМЕЩЕНИЯ АВТОТУРИСТОВ","Ермаков А.С., Корнеев А.А., Черепанов Д.А.",Сервис plus,https://elibrary.ru/contents.asp?id=33962290,"
Сервис plus. 
2014. 
Т. 8. № 2.  С. 65-70.
"
ПОВЫШЕНИЕ КАЧЕСТВА ОБСЛУЖИВАНИЯ АВТОТУРИСТОВ НА ПРЕДПРИЯТИЯХ ПРИДОРОЖНОГО СЕРВИСА,"Голубев О.П., Голубев А.П., Голина С.И.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=34049135,"
Сервис в России и за рубежом. 
2014. 
№ 7 (54).  С. 155-165.
"
АНАЛИЗ РЫНКА МОБИЛЬНЫХ СРЕДСТВ РАЗМЕЩЕНИЯ АВТОТУРИСТОВ,"Черепанов Д.А., Ермаков А.С.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=34049135,"
Сервис в России и за рубежом. 
2014. 
№ 7 (54).  С. 179-191.
"
РЕАЛИЗАЦИЯ ЭЛЕМЕНТОВ СИСТЕМЫ МЕНЕДЖМЕНТА КАЧЕСТВА ПРИ АТТЕСТАЦИИ РАБОЧИХ МЕСТ НА ПРЕДПРИЯТИЯХ СЕРВИСА,"Черепанов Д.А., Ермаков А.С.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=33936802,"
Сервис в России и за рубежом. 
2014. 
№ 1 (48).  С. 204-210.
"
РАЗВИТИЕ АВТОТУРИЗМА В ДЕПРЕССИВНЫХ СЕЛЬСКИХ ПОСЕЛЕНИЯХ НЕЧЕРНОЗЕМЬЯ ЦЕНТРАЛЬНОЙ РОССИИ,"Ермаков А.С., Кондакова Т.Ю.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=33953495,"
Сервис в России и за рубежом. 
2014. 
№ 2 (49).  С. 24-33.
"
НЕМАТЕРИАЛЬНЫЕ АКТИВЫ КАК КОНКУРЕНТНЫЕ ПРЕИМУЩЕСТВА ОРГАНИЗАЦИЙ РОЗНИЧНОЙ ТОРГОВЛИ,Майорова Е.А.,Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=33973192,"
Сервис в России и за рубежом. 
2014. 
№ 5 (52).  С. 3-17.
"
К ВОПРОСУ О РАЗВИТИИ УСТОЙЧИВОГО АВТОТУРИЗМА В РОССИИ,"Ермаков А.С., Корнеев А.А., Руднева М.Я.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=34049135,"
Сервис в России и за рубежом. 
2014. 
№ 7 (54).  С. 87-97.
"
МАРКЕТИНГОВЫЙ ПОДХОД К УПРАВЛЕНИЮ КАЧЕСТВОМ УСЛУГ В СФЕРЕ РЕСТОРАННО-ГОСТИНИЧНОГО БИЗНЕСА,"Джум Т.А., Жатикова М.Н., Ксёнз М.В.",Сфера услуг: инновации и качество,https://elibrary.ru/contents.asp?id=34222723,"
Сфера услуг: инновации и качество. 
2014. 
№ 20.  С. 30-42.
"
ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ РАЗВИТИЯ ГОСТИНИЧНОГО БИЗНЕСА В РОССИИ,Зайцева Н.А.,Сервис plus,https://elibrary.ru/contents.asp?id=33916349,"
Сервис plus. 
2013. 
№ 4.  С. 48-54.
"
"ОСОБЕННОСТИ И УСЛОВИЯ РАЗВИТИЯ КЕМПИНГ-ИНДУСТРИИ В РОССИЙСКОЙ ФЕДЕРАЦИИ НА ПРИМЕРЕ ЗАО ""АВТОКЕМПЕР""",Гритчина Д.А.,Сервис plus,https://elibrary.ru/contents.asp?id=33844257,"
Сервис plus. 
2013. 
№ 3.  С. 58-65.
"
ОСОБЕННОСТИ СТИМУЛИРОВАНИЯ ПЕРСОНАЛА В ГОСТИНИЦАХ: РОССИЙСКИЙ И ЗАРУБЕЖНЫЙ ОПЫТ,Зайцева Н.А.,Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=33844252,"
Сервис в России и за рубежом. 
2013. 
№ 7 (45).  С. 64-71.
"
"СЕМИНАРЫ: ""СОВЕРШЕНСТВОВАНИЕ НОРМАТИВНО- ПРАВОВОЙ БАЗЫ РЕГУЛИРОВАНИЯ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ"", ""РАЗВИТИЕ РЫНКА МОРСКИХ И РЕЧНЫХ КРУИЗОВ"", ""РАЗВИТИЕ МОСКОВСКОГО РЫНКА ЖЕЛЕЗНОДОРОЖНЫХ ТУРОВ"", ""РАЗВИТИЕ АВТОБУСНОГО ТУРИЗМА В ГОРОДЕ МОСКВЕ""",,,,
ИССЛЕДОВАНИЕ ОСОБЕННОСТЕЙ КОНКУРЕНТНОЙ БОРЬБЫ СОВРЕМЕННЫХ ТОРГОВЫХ ПРЕДПРИЯТИЙ,"Сторожева Г.Н., Максимова М.И.",Сфера услуг: инновации и качество,https://elibrary.ru/contents.asp?id=34040648,"
Сфера услуг: инновации и качество. 
2012. 
№ 5.  С. 83-97.
"
ЭЛЕКТРОННАЯ ТОРГОВЛЯ КАК СПЕЦИФИЧЕСКИЙ КАНАЛ СБЫТА ЮВЕЛИРНОЙ ПРОДУКЦИИ: РОССИЙСКИЙ ОПЫТ,Ганифаев К.Б.О.,Сервис plus,https://elibrary.ru/contents.asp?id=33655937,"
Сервис plus. 
2011. 
№ 1.  С. 83-87.
"
СОВРЕМЕННОЕ СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ ГОСТИНИЧНОГО СЕКТОРА В РЕСПУБЛИКЕ ДАГЕСТАН,"Ханбабаева З.М., Сахарчук Е.С., Даитов В.В.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=33688304,"
Сервис в России и за рубежом. 
2011. 
№ 6 (25).  С. 190-197.
"
ПЕРСПЕКТИВЫ РАЗВИТИЯ ТУРИЗМА В ГЖЕЛИ,"Лисицына Т.Б., Лисицына Е.В.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=33665267,"
Сервис в России и за рубежом. 
2011. 
№ 4 (23).  С. 317-321.
"
ЗАРУБЕЖНЫЙ ОПЫТ РАЗВИТИЯ СОЦИАЛЬНЫХ ГОСТИНИЦ В БЮДЖЕТНОМ СЕКТОРЕ ИНДУСТРИИ ГОСТЕПРИИМСТВА,Салманова И.П.,Сервис plus,https://elibrary.ru/contents.asp?id=33388226,"
Сервис plus. 
2010. 
№ 1.  С. 27-32.
"
КАЧЕСТВО УСЛУГ В СФЕРЕ ГОСТЕПРИИМСТВА,Дусенко С.В.,Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=33649578,"
Сервис в России и за рубежом. 
2010. 
№ 4 (19).  С. 15-26.
"
