Field1,Field2,Field3_text,Field3_links,Field4
УПРАВЛЕНИЕ ЖИЗНЕННЫМ ЦИКЛОМ ЭЛЕКТРОННЫХ ПУБЛИКАЦИЙ В ИНФОРМАЦИОННОЙ СИСТЕМЕ НАУЧНОГО ЖУРНАЛА,"Елизаров А.М., Зуев Д.С., Липачёв Е.К.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=34046661,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2014. 
№ 4.  С. 81-88.
"
БАЗИС РЕАЛИЗАЦИИ СУПЕР-ЭВМ ЭКСАФЛОПСНОГО КЛАССА,"Соколов И.А., Степченков Ю.А., Бобков С.Г., Захаров В.Н., Дьяченко Ю.Г., Рождественский Ю.В., Сурков А.В.",Информатика и ее применения,https://elibrary.ru/contents.asp?id=33949880,"
Информатика и ее применения. 
2014. 
Т. 8. № 1.  С. 45-70.
"
ВИЗУАЛИЗАЦИЯ И АНАЛИЗ ГРАФОВ БОЛЬШИХ РАЗМЕРОВ,"Коломейченко М.И., Чеповский А.М.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=34049649,"
Бизнес-информатика. 
2014. 
№ 4 (30).  С. 7-16.
"
МЕТОДЫ РАСПОЗНАВАНИЯ ЭЛЕМЕНТОВ ЗЕРНОВЫХ СМЕСЕЙ ПО РЕЗУЛЬТАТАМ ИЗМЕРЕНИЯ СПЕКТРАЛЬНЫХ ХАРАКТЕРИСТИК В СИСТЕМАХ СЕПАРАЦИИ РЕАЛЬНОГО ВРЕМЕНИ,"Алгазинов Э.К., Дрюченко М.А., Минаков Д.А., Сирота А.А., Шульгин В.А.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=33909165,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2013. 
№ 2.  С. 9-19.
"
ЭЛЕМЕНТЫ СРЕДЫ РАЗРАБОТКИ ПРОГРАММНЫХ КОМПЛЕКСОВ НА ОСНОВЕ ОРГАНИЗАЦИИ МЕТАМОДЕЛИ ОБЪЕКТНОЙ СИСТЕМЫ,Олейник П.П.,Бизнес-информатика,https://elibrary.ru/contents.asp?id=33938027,"
Бизнес-информатика. 
2013. 
№ 4 (26).  С. 69-76.
"
"АВТОМАТИЗАЦИЯ ПРОЦЕССОВ КОМПЛЕКТОВАНИЯ И ОБРАБОТКИ ЛИТЕРАТУРЫ НА ОСНОВЕ ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЙ СИСТЕМЫ ""БИБЛИОБУС""","Бочарова Е.Н., Васильев А.В., Кочукова Е.В.",Научные и технические библиотеки,https://elibrary.ru/contents.asp?id=33730294,"
Научные и технические библиотеки. 
2012. 
№ 3.  С. 30-33.
"
ФОРМАЛИЗАЦИЯ ПРОЦЕССА ИНФОРМАЦИОННО-ПСИХОЛОГИЧЕСКОГО ВОЗДЕЙСТВИЯ,"Гончаров И.В., Демьяненко Н.Ю., Мишина Я.С.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=33821164,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2012. 
№ 2.  С. 36-41.
"
МОДЕЛИРОВАНИЕ ПРОЦЕССОВ ФОРМИРОВАНИЯ ЭКСПЕРТНЫХ ЗНАНИЙ ДЛЯ МОНИТОРИНГА ПРОГРАММНО-ЦЕЛЕВОЙ ДЕЯТЕЛЬНОСТИ,"Зацман И.М., Дурново А.А.",Информатика и ее применения,https://elibrary.ru/contents.asp?id=33700713,"
Информатика и ее применения. 
2011. 
Т. 5. № 4.  С. 84-98.
"
ИНФОРМАТИЧЕСКИЕ ОПУСЫ. ОПУС 3. ОНТОЛОГИЯ ИНФОРМАЦИИ. ТИПЫ РЕАЛЬНОСТЕЙ И ТИПЫ ИНФОРМАЦИИ,Соколов А.В.,Научные и технические библиотеки,https://elibrary.ru/contents.asp?id=33651607,"
Научные и технические библиотеки. 
2010. 
№ 11.  С. 7-24.
"
СОЗДАНИЕ БАЗОВОЙ ОНТОЛОГИИ ДЛЯ РОССИЙСКОЙ СИСТЕМЫ ПРАВА НА ОСНОВЕ ОНТОЛОГИИ LKIF-CORE,"Воронина И.Е., Пигалкова Е.А.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=33599783,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2010. 
№ 1.  С. 154-159.
"
"СЕМИОТИЧЕСКАЯ МОДЕЛЬ ВЗАИМОСВЯЗЕЙ КОНЦЕПТОВ, ИНФОРМАЦИОННЫХ ОБЪЕКТОВ И КОМПЬЮТЕРНЫХ КОДОВ",Зацман И.М.,Информатика и ее применения,https://elibrary.ru/contents.asp?id=33387052,"
Информатика и ее применения. 
2009. 
Т. 3. № 2.  С. 65-81.
"
"НЕСТАЦИОНАРНАЯ СЕМИОТИЧЕСКАЯ МОДЕЛЬ КОМПЬЮТЕРНОГО КОДИРОВАНИЯ КОНЦЕПТОВ, ИНФОРМАЦИОННЫХ ОБЪЕКТОВ И ДЕНОТАТОВ",Зацман И.М.,Информатика и ее применения,https://elibrary.ru/contents.asp?id=33385436,"
Информатика и ее применения. 
2009. 
Т. 3. № 4.  С. 87-101.
"
СОВРЕМЕННОЕ СОСТОЯНИЕ МЕЖДУНАРОДНЫХ СТАНДАРТОВ СИСТЕМНОЙ И ПРОГРАММНОЙ ИНЖЕНЕРИИ,Батоврин В.К.,Бизнес-информатика,https://elibrary.ru/contents.asp?id=33380614,"
Бизнес-информатика. 
2009. 
№ 3 (9).  С. 3-10.
"
РАЗВИТИЕ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ В БИБЛИОТЕКАХ: ВЗГЛЯД В БУДУЩЕЕ,"Карауш А.С., Макаревич А.С.",Научные и технические библиотеки,https://elibrary.ru/contents.asp?id=33379753,"
Научные и технические библиотеки. 
2008. 
№ 1.  С. 53-58.
"
КОМПЛЕКСНАЯ МЕТОДИКА ИЗУЧЕНИЯ ИНФОРМАЦИОННЫХ ПОТРЕБНОСТЕЙ ПОЛЬЗОВАТЕЛЕЙ,"Харыбина Т.Н., Слащева Н.А., Мохначева Ю.В.",Научные и технические библиотеки,https://elibrary.ru/contents.asp?id=33380071,"
Научные и технические библиотеки. 
2008. 
№ 4.  С. 62-72.
"
АРХИТЕКТУРА ПРОМЕЖУТОЧНОГО СЛОЯ ПРЕДМЕТНЫХ ПОСРЕДНИКОВ ДЛЯ РЕШЕНИЯ ЗАДАЧ НАД МНОЖЕСТВОМ ИНТЕГРИРУЕМЫХ НЕОДНОРОДНЫХ РАСПРЕДЕЛЕННЫХ ИНФОРМАЦИОННЫХ РЕСУРСОВ В ГИБРИДНОЙ ГРИД-ИНФРАСТРУКТУРЕ ВИРТУАЛЬНЫХ ОБСЕРВАТОРИЙ,"Брюхов Д.О., Вовченко А.Е., Захаров В.Н., Желенкова О.П., Калиниченко Л.А., Мартынов Д.О., Скворцов Н.А., Ступников С.А.",Информатика и ее применения,https://elibrary.ru/contents.asp?id=33379481,"
Информатика и ее применения. 
2008. 
Т. 2. № 1.  С. 2-34.
"
ЗАДАЧИ ПРЕДСТАВЛЕНИЯ ЛИЧНОСТНЫХ И КОЛЛЕКТИВНЫХ КОНЦЕПТОВ В ЦИФРОВОЙ СРЕДЕ,"Зацман И.М., Косарик В.В., Курчавова О.А.",Информатика и ее применения,https://elibrary.ru/contents.asp?id=33379483,"
Информатика и ее применения. 
2008. 
Т. 2. № 3.  С. 54-69.
"
ПРИМЕНЕНИЕ ОНТОЛОГИЧЕСКИХ МОДЕЛЕЙ ДЛЯ РЕШЕНИЯ ЗАДАЧ ИДЕНТИФИКАЦИИ И МОНИТОРИНГА ПРЕДМЕТНЫХ ОБЛАСТЕЙ,Мальцева С.В.,Бизнес-информатика,https://elibrary.ru/contents.asp?id=33335426,"
Бизнес-информатика. 
2008. 
№ 3 (5).  С. 18-24.
"
РЕШЕНИЕ ЗАДАЧИ ПОИСКА ИНФОРМАЦИИ НА ОСНОВЕ ОНТОЛОГИИ,Пальчунов Д.Е.,Бизнес-информатика,https://elibrary.ru/contents.asp?id=33335137,"
Бизнес-информатика. 
2008. 
№ 1 (3).  С. 3-13.
"
КОНСТРУИРОВАНИЕ КАНОНИЧЕСКИХ ИНФОРМАЦИОННЫХ МОДЕЛЕЙ ДЛЯ ИНТЕГРИРОВАННЫХ ИНФОРМАЦИОННЫХ СИСТЕМ,"Захаров B.Н., Калиниченко Л.А., Соколов И.А., Ступников C.А.",Информатика и ее применения,https://elibrary.ru/contents.asp?id=33379480,"
Информатика и ее применения. 
2007. 
Т. 1. № 2.  С. 15-38.
"
