Field1,Field2,Field3_text,Field3_links,Field4
ВАШ БИЗНЕС ПОД НАПОРОМ. СОВРЕМЕННОЕ ВОДОСНАБЖЕНИЕ ГОСТИНИЦ И МИНИ-ОТЕЛЕЙ,,,,
КОМПЛЕКСНЫЙ ПОДХОД XVLEM,,,,
ЖГИ РАЗУМНО! WOLF ПРЕДСТАВИЛ НОВЫЙ КОНДЕНСАЦИОННЫЙ КОТЁЛ,,,,
ПРОИЗВОДСТВО РАДИАТОРОВ ОТОПЛЕНИЯ - СПЛАВ ВЫСОКИХ ТЕХНОЛОГИЙ И СТРОГИХ СТАНДАРТОВ,,,,
ОБЕСПЕЧЕНИЕ БЕЗОПАСНОСТИ ПРИГРАНИЧНОГО СОТРУДНИЧЕСТВА (НА ПРИМЕРЕ РОССИИ И КИТАЯ),Чудинова М.А.,"Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=34420794,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2016. 
№ 4 (30).  С. 34-37.
"
СКОЛЬКО ПРИДЕТСЯ ЗАПЛАТИТЬ ВОДОКАНАЛУ ЗА СБРОС ПИТЬЕВОЙ ВОДЫ В ВОДОЕМ?,"Скрябин А.Ю., Ковыршина Т.С.",Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=34416623,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2016. 
№ 4.  С. 17-19.
"
ТЕХНИЧЕСКОЕ ОБСЛЕДОВАНИЕ СИСТЕМ ВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ КАК ИНСТРУМЕНТ ПОВЫШЕНИЯ ЭФФЕКТИВНОСТИ ЭКСПЛУАТАЦИИ И РАЗВИТИЯ,"Эпов А.Н., Данилович Д.А.",Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=34417440,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2016. 
№ 5.  С. 26-36.
"
"РЕЗУЛЬТАТЫ РАБОТЫ ОБОРУДОВАНИЯ ДЛЯ РАДИАЛЬНЫХ ОТСТОЙНИКОВ НА ОСК МУП ""УССУРИЙСКИЙ ВОДОКАНАЛ""",Волошин К.И.,Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=34416623,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2016. 
№ 4.  С. 34-38.
"
КОАКСИАЛЬНЫЕ И КОЛЛЕКТИВНЫЕ ДЫМОХОДЫ В ПОКВАРТИРНОМ ОТОПЛЕНИИ,Фролов И.В.,"Сантехника, Отопление, Кондиционирование",https://elibrary.ru/contents.asp?id=34336883,"
Сантехника, Отопление, Кондиционирование. 
2015. 
№ 9 (165).  С. 54-61.
"
ТЯГА - НА ВЫСОТЕ,Телегин А.,"Сантехника, Отопление, Кондиционирование",https://elibrary.ru/contents.asp?id=34336880,"
Сантехника, Отопление, Кондиционирование. 
2015. 
№ 6 (162).  С. 66-73.
"
СРЕДА ФУНКЦИОНИРОВАНИЯ ПРЕДПРИЯТИЙ РОЗНИЧНОЙ ТОРГОВЛИ В МАЛЫХ ГОРОДАХ,Никуленкова Н.А.,"Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=34212789,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2015. 
№ 3 (25).  С. 67-70.
"
ВЫБОР МЕСТА УСТАНОВКИ И МОНТАЖ РЕГУЛЯТОРОВДАВЛЕНИЯ НА ОСНОВЕ РЕЗУЛЬТАТОВ ГИДРАВЛИЧЕСКОГО МОДЕЛИРОВАНИЯ,Бычков Д.А.,Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=34084926,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2014. 
№ 1.  С. 44-53.
"
ПСИХОЛОГИЯ ПОТРЕБИТЕЛЕЙ: ВЫЯВЛЕНИЕ ОСОБЕННОСТЕЙ И ИХ ИСПОЛЬЗОВАНИЕ В УПРАВЛЕНИИ БРЕНДОМ,Кривова А.В.,"Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33810921,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2012. 
№ 4 (14).  С. 168-173.
"
СОВЕРШЕНСТВОВАНИЕ УПРАВЛЕНИЯ ПРЕДПРИЯТИЯМИ НА ОСНОВЕ СОВРЕМЕННЫХ WEB-ТЕХНОЛОГИЙ И СИСТЕМ ДОКУМЕНТООБОРОТА,Карцев С.А.,"Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33681157,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2011. 
№ 2 (8).  С. 102-110.
"
МЕТОДОЛОГИЯ БУХГАЛТЕРСКОГО УЧЕТА СОБСТВЕННОГО КАПИТАЛА ПРИ УЧРЕЖДЕНИИ АКЦИОНЕРНЫХ ОБЩЕСТВ,"Тяжкова М.С., Иванова Н.П.","Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33727070,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2011. 
№ 1 (7).  С. 132-145.
"
СБАЛАНСИРОВАННАЯ СИСТЕМА ПОКАЗАТЕЛЕЙ ЛИЗИНГОВОЙ КОМПАНИИ,"Иванова Ю.Н., Жукова Л.А.","Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33681157,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2011. 
№ 2 (8).  С. 133-141.
"
ТУРИСТСКАЯ ФИРМА САНКТ-ПЕТЕРБУРГА: ЭТЮД К ДОКРИЗИСНОМУ ПОРТРЕТУ,"Велединский В.Г., Иноземцева Е.А.","Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33571805,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2009. 
№ 1.  С. 106-119.
"
ПРОБЛЕМЫ ОЦЕНКИ ЖИЗНИ В ЮРИДИЧЕСКОЙ ПРАКТИКЕ,Гавришев Е.И.,"Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33571805,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2009. 
№ 1.  С. 139-143.
"
РАЗРАБОТКА СИСТЕМЫ НЕЙТРАЛИЗАЦИИ ВЫХЛОПНЫХ ГАЗОВ ПРИ СЕРВИСНОМ ОБСЛУЖИВАНИИ АВТОМОБИЛЕЙ,"Изместьева А.В., Якушев А.Е.","Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33571805,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2009. 
№ 1.  С. 155-158.
"
КАЧЕСТВО ЖИЗНИ И СОЦИАЛЬНАЯ СПРАВЕДЛИВОСТЬ,"Пожарская В.Б., Семенова В.Н.","Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33566993,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2009. 
№ 2.  С. 87-93.
"
ПОНЯТИЕ ОБЪЕКТА ГРАДОСТРОИТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ ПРИ ОКАЗАНИИ УСЛУГ В СФЕРЕ СТРОИТЕЛЬСТВА,Тураходжаев Т.Б.,"Теория и практика сервиса: экономика, социальная сфера, технологии",https://elibrary.ru/contents.asp?id=33571805,"
Теория и практика сервиса: экономика, социальная сфера, технологии. 
2009. 
№ 1.  С. 90-96.
"
