Field1,Field2,Field3_text,Field3_links,Field4
ЦИФРОВОЙ НЕФТЕГАЗОВЫЙ КОМПЛЕКС РОССИИ,"Дмитриевский А.Н., Еремин Н.А., Филиппова Д.С., Сафарова Е.А.",Георесурсы,https://elibrary.ru/contents.asp?id=44611208,"
Георесурсы. 
2020. 
Т. 22. № S.  С. 32-35.
"
ОБ УВЕЛИЧЕНИИ ПРОДУКТИВНОГО ВРЕМЕНИ БУРЕНИЯ НЕФТЕГАЗОВЫХ СКВАЖИН С ИСПОЛЬЗОВАНИЕМ МЕТОДОВ МАШИННОГО ОБУЧЕНИЯ,"Дмитриевский А.Н., Сбоев А.Г., Еремин Н.А., Черников А.Д., Наумов А.В., Грязнов А.В., Молошников И.А., Бороздин С.О., Сафарова Е.А.",Георесурсы,https://elibrary.ru/contents.asp?id=44585652,"
Георесурсы. 
2020. 
Т. 22. № 4.  С. 79-85.
"
ПРИМЕНЕНИЕ МЕТОДОВ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ДЛЯ ВЫЯВЛЕНИЯ И ПРОГНОЗИРОВАНИЯ ОСЛОЖНЕНИЙ ПРИ СТРОИТЕЛЬСТВЕ НЕФТЯНЫХ И ГАЗОВЫХ СКВАЖИН: ПРОБЛЕМЫ И ОСНОВНЫЕ НАПРАВЛЕНИЯ РЕШЕНИЯ,"Черников А.Д., Еремин Н.А., Столяров В.Е., Сбоев А.Г., Семенова-Чащина О.К., Фицнер Л.К.",Георесурсы,https://elibrary.ru/contents.asp?id=44072911,"
Георесурсы. 
2020. 
Т. 22. № 3.  С. 87-96.
"
АВТОМАТИЗАЦИЯ И РОБОТИЗАЦИЯ ОТКРЫТЫХ ГОРНЫХ РАБОТ: ОПЫТ ЦИФРОВОЙ ТРАНСФОРМАЦИИ,Клебанов А.Ф.,Горная промышленность,https://elibrary.ru/contents.asp?id=42649177,"
Горная промышленность. 
2020. 
№ 1.  С. 8-11.
"
РАЗВИТИЕ ПРИРОДООХРАННЫХ И РЕСУРСОСБЕРЕГАЮЩИХ ТЕХНОЛОГИЙ ПОДЗЕМНОЙ ДОБЫЧИ РУД В ЭНЕРГОНАРУШЕННЫХ МАССИВАХ,"Ляшенко В.И., Хоменко О.Е., Голик В.И.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=43486642,"
Горные науки и технологии. 
2020. 
Т. 5. № 2.  С. 104-118.
"
УПРАВЛЕНИЕ КАЧЕСТВОМ ТОВАРНОЙ ПРОДУКЦИИ В УСЛОВИЯХ ОТРАБОТКИ СЛОЖНОСТРУКТУРНОГО УГОЛЬНОГО МЕСТОРОЖДЕНИЯ,"Азев В.А., Попов Д.В.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=43486642,"
Горные науки и технологии. 
2020. 
Т. 5. № 2.  С. 119-130.
"
ЗАДАЧИ СОВЕРШЕНСТВОВАНИЯ УПРАВЛЕНИЯ И ПОВЫШЕНИЯ ЭФФЕКТИВНОСТИ ФУНКЦИОНИРОВАНИЯ ТЕХНОЛОГИЧЕСКИХ БЛОКОВ РУДНИКА ПОДЗЕМНОГО СКВАЖИННОГО ВЫЩЕЛАЧИВАНИЯ УРАНА,Подрезов Д.Р.,Горные науки и технологии,https://elibrary.ru/contents.asp?id=43486642,"
Горные науки и технологии. 
2020. 
Т. 5. № 2.  С. 131-153.
"
ПОВЫШЕНИЕ ЭФФЕКТИВНОСТИ ФЛОТАЦИИ МЕДНО-МОЛИБДЕНОВЫХ РУД С ИСПОЛЬЗОВАНИЕМ ИЗМЕРЕНИЯ ПОГЛОТИТЕЛЬНОЙ СПОСОБНОСТИ ПУЛЬПЫ,"Морозов В.В., Жаргалсайхан Э., Пестряк И.В.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=44155663,"
Горные науки и технологии. 
2020. 
Т. 5. № 3.  С. 188-200.
"
ОЦЕНКА ЭКОЛОГИЧЕСКОЙ ОПАСНОСТИ НАКОПЛЕННЫХ ОТХОДОВ ПЕРЕРАБОТКИ МИНЕРАЛЬНОГО СЫРЬЯ ЗАКРЫТЫХ ГОРНЫХ ПРЕДПРИЯТИЙ В ПРИАМУРЬЕ И ПРИМОРЬЕ,"Крупская Л.Т., Орлов А.М., Голубев Д.А., Колобанов К.А., Филатова М.Ю.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=44155663,"
Горные науки и технологии. 
2020. 
Т. 5. № 3.  С. 208-223.
"
ФОРМИРОВАНИЕ УСТОЙЧИВОСТИ БОРТОВ ПРИ ВЕДЕНИИ ВЗРЫВНЫХ РАБОТ НА КАРЬЕРАХ КЫЗЫЛКУМСКОГО РЕГИОНА,"Заиров Ш.Ш., Уринов Ш.Р., Номдоров Р.У.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=44155663,"
Горные науки и технологии. 
2020. 
Т. 5. № 3.  С. 235-252.
"
К КОНЦЕПЦИИ ШАХТНОГО ПОДЗЕМНОГО ВЫЩЕЛАЧИВАНИЯ МЕТАЛЛОВ,"Габараев О.З., Габараева А.О., Дедегкаева Н.Т., Болотбеков Ж.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=44560211,"
Горные науки и технологии. 
2020. 
Т. 5. № 4.  С. 349-357.
"
АНАЛИЗ ЭНЕРГЕТИЧЕСКИХ ПОКАЗАТЕЛЕЙ РАБОТЫ ГОРНОПРОХОДЧЕСКИХ КОМПЛЕКСОВ УГОЛЬНОЙ ШАХТЫ,Садридинов А.Б.,Горные науки и технологии,https://elibrary.ru/contents.asp?id=44560211,"
Горные науки и технологии. 
2020. 
Т. 5. № 4.  С. 367-375.
"
О НЕОБХОДИМОСТИ ИЗМЕНЕНИЯ МЕТОДИЧЕСКОГО ПОДХОДА К РАСЧЕТУ ДЕБИТА МЕТАНА В ВЫСОКОПРОИЗВОДИТЕЛЬНЫХ ОЧИСТНЫХ ЗАБОЯХ КУЗБАССА,"Ордин А.А., Тимошенко А.М., Ботвенко Д.В.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=43486642,"
Горные науки и технологии. 
2020. 
Т. 5. № 2.  С. 82-91.
"
ОЦЕНКА ГРАВИТАЦИОННОЙ ОБОГАТИМОСТИ ЗОЛОТОСОДЕРЖАЩЕЙ РУДЫ - GRG,"Суримбаев Б.Н., Каналы Е.С., Болотова Л.С., Шалгымбаев С.Т.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=43486642,"
Горные науки и технологии. 
2020. 
Т. 5. № 2.  С. 92-103.
"
ОПТИМИЗАЦИЯ ВЫРАБОТКИ ЗАПАСОВ ИЗ ВОДОНЕФТЯНЫХ ЗОН ГОРИЗОНТА D3PS ШКАПОВСКОГО НЕФТЯНОГО МЕСТОРОЖДЕНИЯ С ПОМОЩЬЮ ГОРИЗОНТАЛЬНЫХ СКВАЖИН,"Якупов Р.Ф., Мухаметшин В.Ш., Хакимзянов И.Н., Трофимов В.Е.",Георесурсы,https://elibrary.ru/contents.asp?id=41468501,"
Георесурсы. 
2019. 
Т. 21. № 3.  С. 55-61.
"
КОМБИНИРОВАННЫЕ ТЕХНОЛОГИИ РАЗРАБОТКИ УГОЛЬНЫХ МЕСТОРОЖДЕНИЙ (ОБЗОР),"Ермаков А.Ю., Сенкус В.В., Фам Д.Т., Сенкус В.В., Абрамкин Н.И., Ермаков Е.А.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=42574154,"
Горные науки и технологии. 
2019. 
Т. 4. № 4.  С. 230-250.
"
ИССЛЕДОВАНИЕ ОСЛАБЛЕННОСТИ МАССИВА ПОРОД ПРИ ПОДЗЕМНОЙ ДОБЫЧЕ РУД,"Голик В.И., Масленников С.А., Нуньес Родригес А.М., Анищенко В.И.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=42574154,"
Горные науки и технологии. 
2019. 
Т. 4. № 4.  С. 251-261.
"
НОВЫЕ РЕШЕНИЯ В ОБЛАСТИ РУДНИЧНОГО ТРАНСПОРТА ДЛЯ ПЕРЕХОДА К ПОТОЧНОЙ ОТРАБОТКЕ ПОЛЕЗНЫХ ИСКОПАЕМЫХ,"Асанов А.А., Гуменников Е.С.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=42574154,"
Горные науки и технологии. 
2019. 
Т. 4. № 4.  С. 262-272.
"
ПРИРОДНЫЙ ГАЗ - ПЕРСПЕКТИВНОЕ МОТОРНОЕ ТОПЛИВО КАРЬЕРНОГО АВТОТРАНСПОРТА ДЛЯ РАЙОНОВ СЕВЕРА,"Тарасов П.И., Хазин М.Л., Фурзиков В.В.",Горная промышленность,https://elibrary.ru/contents.asp?id=34346959,"
Горная промышленность. 
2016. 
№ 6 (130).  С. 51.
"
ПРОБЛЕМЫ ЭКСПЛУАТАЦИИ НЕФТЯНЫХ И ГАЗОВЫХ СКВАЖИН,"Васильев С.И., Милосердов Е.Е., Булчаев Н.Д.",Горная промышленность,https://elibrary.ru/contents.asp?id=34085447,"
Горная промышленность. 
2015. 
№ 3 (121).  С. 86.
"
ИСПОЛЬЗОВАНИЕ ГОРНОГО ОБОРУДОВАНИЯ ДЛЯ МЕХАНИЧЕСКОГО РАЗРУШЕНИЯ СКАЛЬНЫХ И ПОЛУСКАЛЬНЫХ ПОРОД,"Чебан А.Ю., Хрунина Н.П.",Горная промышленность,https://elibrary.ru/contents.asp?id=33964536,"
Горная промышленность. 
2014. 
№ 2 (114).  С. 104.
"
АНАЛИЗ СТАТИСТИКИ ЭНДОГЕННЫХ ПОЖАРОВ НА УГОЛЬНЫХ ШАХТАХ РОССИИ,Завиркина Т.В.,Горные науки и технологии,https://elibrary.ru/contents.asp?id=33953602,"
Горные науки и технологии. 
2014. 
№ 1.  С. 30-36.
"
"СТРУКТУРНЫЙ АНАЛИЗ ТЕХНИЧЕСКИХ СРЕДСТВ, ЗАДЕЙСТВОВАННЫХ ПРИ ДОБЫЧЕ СТРОИТЕЛЬНЫХ ГОРНЫХ ПОРОД НА ЮГЕ ДАЛЬНЕВОСТОЧНОГО РЕГИОНА","Чебан А.Ю., Секисов Г.В., Хрунина Н.П.",Горная промышленность,https://elibrary.ru/contents.asp?id=33845555,"
Горная промышленность. 
2013. 
№ 4 (110).  С. 26.
"
РАЗРАБОТКА АЛГОРИТМОВ НЕЧЕТКОГО МОДЕЛИРОВАНИЯ ДЛЯ ИНТЕЛЛЕКТУАЛЬНОЙ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ ПО ОПРЕДЕЛЕНИЮ УРОВНЯ ЭРГОНОМИЧНОСТИ КАРЬЕРНЫХ ЭКСКАВАТОРОВ,Великанов В.С.,Горная промышленность,https://elibrary.ru/contents.asp?id=33724692,"
Горная промышленность. 
2011. 
№ 5 (99).  С. 64-68.
"
НЕТРАДИЦИОННЫЕ ТЕХНОЛОГИИ ДОБЫЧИ УГЛЯ -ОСНОВА ИНТЕНСИВНОГО ОСВОЕНИЯ МИНЕРАЛЬНО-СЫРЬЕВОЙ БАЗЫ КУЗБАССА,"Шаклеин С.В., Писаренко М.В.",Горная промышленность,https://elibrary.ru/contents.asp?id=33602401,"
Горная промышленность. 
2010. 
№ 4 (92).  С. 22-25.
"
"МЕТОД КОМПЛЕКСНОГО ДИАГНОСТИРОВАНИЯ РЕДУКТОРОВ МОТОР-КОЛЁС КАРЬЕРНЫХ АВТОСАМОСВАЛОВ В УСЛОВИЯХ ПРЕДПРИЯТИЙ ОАО ""УК КУЗБАССРАЗРЕЗУГОЛЬ""","Хорешок А.А., Кудреватых А.В.",Горная промышленность,https://elibrary.ru/contents.asp?id=33655048,"
Горная промышленность. 
2010. 
№ 5 (93).  С. 60-65.
"
"КОМБАЙНЫ WIRTGEN SURFACE MINER НА ОТКРЫТЫХ ГОРНЫХ РАБОТАХ: ИСТОРИЯ РАЗВИТИЯ, МАСШТАБЫ ПРИМЕНЕНИЯ И ПЕРСПЕКТИВЫ РАСШИРЕНИЯ","Пихлер М., Панкевич Ю.Б.",Горная промышленность,https://elibrary.ru/contents.asp?id=33383133,"
Горная промышленность. 
2009. 
№ 2 (84).  С. 54-57.
"
