Field1,Field2,Field3_text,Field3_links,Field4
ЧЕГО МЫ ЖДЕМ ОТ НОВОГО ПРАВИТЕЛЬСТВА,Кудрин А.,Экономическая политика,https://elibrary.ru/contents.asp?id=33732571,"
Экономическая политика. 
2012. 
№ 2.  С. 59-72.
"
СТРАТЕГИЯ 2020: НОВЫЕ КОНТУРЫ РОССИЙСКОЙ ИННОВАЦИОННОЙ ПОЛИТИКИ,"Гохберг Л.М., Кузнецова Т.Е.",Форсайт,https://elibrary.ru/contents.asp?id=33723631,"
Форсайт. 
2011. 
Т. 5. № 4.  С. 8-30.
"
КЛАСТЕРНЫЙ ПОДХОД В СТРАТЕГИИ ИННОВАЦИОННОГО РАЗВИТИЯ ЗАРУБЕЖНЫХ СТРАН,"Ленчук Е.Б., Власкин Г.А.",Проблемы прогнозирования,https://elibrary.ru/contents.asp?id=33666001,"
Проблемы прогнозирования. 
2010. 
№ 5 (122).  С. 38-51.
"
АНАЛИЗ ИННОВАЦИОННЫХ РЕЖИМОВ В РОССИЙСКОЙ ЭКОНОМИКЕ: МЕТОДОЛОГИЧЕСКИЕ ПОДХОДЫ И ПЕРВЫЕ РЕЗУЛЬТАТЫ,"Гохберг Л.М., Кузнецова Т.Е., Рудь В.А.",Форсайт,https://elibrary.ru/contents.asp?id=33658289,"
Форсайт. 
2010. 
Т. 4. № 3.  С. 18-30.
"
ИННОВАЦИИ В РОССИЙСКОЙ ЭКОНОМИКЕ: СТАГНАЦИЯ В ПРЕДДВЕРИИ КРИЗИСА?,"Гохберг Л.М., Кузнецова И.А.",Форсайт,https://elibrary.ru/contents.asp?id=33658462,"
Форсайт. 
2009. 
Т. 3. № 2.  С. 28-46.
"
КРИЗИС И РОССИЯ,Гайдар Е.,Экономическая политика,https://elibrary.ru/contents.asp?id=33384990,"
Экономическая политика. 
2009. 
№ 6.  С. 6-19.
"
"ИМИТАЦИОННОЕ МОДЕЛИРОВАНИЕ В НАУКЕ И БИЗНЕСЕ: ПОДХОДЫ, ИНСТРУМЕНТЫ, ПРИМЕНЕНИЕ","Сидоренко В.Н., Красносельский А.В.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=33343895,"
Бизнес-информатика. 
2009. 
№ 2 (8).  С. 52-57.
"
КОНЦЕПТУАЛЬНЫЕ АСПЕКТЫ ФОРМИРОВАНИЯ ЭКОНОМИКИ ЗНАНИЙ,"Миндели Л.Э., Пипия Л.К.",Проблемы прогнозирования,https://elibrary.ru/contents.asp?id=33186763,"
Проблемы прогнозирования. 
2007. 
№ 3 (102).  С. 115-136.
"
МЕТОД КРИТИЧЕСКИХ ТЕХНОЛОГИЙ,Соколов А.В.,Форсайт,https://elibrary.ru/contents.asp?id=33658490,"
Форсайт. 
2007. 
Т. 1. № 4.  С. 64-74.
"
МАКРОЭКОНОМИЧЕСКИЕ АСПЕКТЫ РЕГИОНАЛЬНОЙ ПОЛИТИКИ,"Евстигнеева Л., Евстигнеев Р.",Экономическая политика,https://elibrary.ru/contents.asp?id=33384974,"
Экономическая политика. 
2006. 
№ 4.  С. 98-122.
"
РОЛЬ ИННОВАЦИЙ И ТЕХНОЛОГИЙ В РАЗВИТИИ ЭКОНОМИКИ И ОБЩЕСТВА,Комков Н.И.,Проблемы прогнозирования,https://elibrary.ru/contents.asp?id=33174870,"
Проблемы прогнозирования. 
2003. 
№ 3.  С. 24-43.
"
ПРОБЛЕМЫ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО ОБОСНОВАНИЯ РЕГИОНАЛЬНОЙ ПОЛИТИКИ,Пчелинцев О.С.,Проблемы прогнозирования,https://elibrary.ru/contents.asp?id=33174862,"
Проблемы прогнозирования. 
2002. 
№ 1.  С. 1-20.
"
РЕГИОНЫ РОССИИ: СОВРЕМЕННОЕ СОСТОЯНИЕ И ПРОБЛЕМА ПЕРЕХОДА К УСТОЙЧИВОМУ РАЗВИТИЮ,Пчелинцев О.С.,Проблемы прогнозирования,https://elibrary.ru/contents.asp?id=33174856,"
Проблемы прогнозирования. 
2001. 
№ 1.  С. 102-115.
"
КАЧЕСТВЕННЫЙ ПОТЕНЦИАЛ НАСЕЛЕНИЯ РОССИИ: ВЗГЛЯД В XXI ВЕК,Римашевская Н.М.,Проблемы прогнозирования,https://elibrary.ru/contents.asp?id=33174858,"
Проблемы прогнозирования. 
2001. 
№ 3.  С. 34-48.
"
